FIRST,TK_MAIN,TK_END,TK_FUNID,TK_SEM,TK_INPUT,TK_PARAMETER,TK_LIST,TK_SQL,TK_SQR,TK_OUTPUT,TK_ID,TK_INT,TK_REAL,TK_RECORD,TK_RUID,TK_UNION,TK_COMMA,TK_ENDRECORD,TK_ENDUNION,TK_TYPE,TK_COLON,TK_FIELDID,TK_GLOBAL,TK_ASSIGNOP,TK_DOT,TK_CALL,TK_WITH,TK_PARAMETERS,TK_WHILE,TK_OP,TK_CL,TK_ENDWHILE,TK_IF,TK_THEN,TK_ELSE,TK_ENDIF,TK_READ,TK_WRITE,TK_MUL,TK_DIV,TK_PLUS,TK_MINUS,TK_NOT,TK_NUM,TK_RNUM,TK_AND,TK_OR,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,TK_RETURN,TK_DEFINETYPE,TK_AS,ε
program,X,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
mainFunction,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
otherFunctions,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
function,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
input_par,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
output_par,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
parameter_list,−,−,−,−,−,−,−,−,−,−,−,X,X,X,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
dataType,−,−,−,−,−,−,−,−,−,−,−,X,X,X,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
primitiveDatatype,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
constructedDatatype,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
remaining_list,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
stmts,−,−,−,−,−,−,−,X,−,−,X,−,−,X,−,X,−,−,−,X,−,−,−,−,−,X,−,−,X,−,−,−,X,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−
typeDefinitions,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,X
actualOrRedefined,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−
typeDefinition,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
fieldDefinitions,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
fieldDefinition,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
fieldType,−,−,−,−,−,−,−,−,−,−,−,X,X,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
moreFields,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
declarations,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
declaration,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
global_or_not,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
otherStmts,−,−,−,−,−,−,−,X,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,X,−,−,−,X,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
stmt,−,−,−,−,−,−,−,X,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,X,−,−,−,X,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
assignmentStmt,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
SingleOrRecId,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
option_single_constructed,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
oneEpansion,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
moreEpansions,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
funCallStmt,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
outputParameters,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
inputParameters,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
iterativeStmt,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
conditionalStmt,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
elsePart,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
ioStmt,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
arithmeticEpression,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−
epPrime,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
term,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−
termPrime,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X
factor,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−
highPrecedenceOperators,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,X,X,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−,−
